epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,171.945,0.6416,0.41242,1.00836,0.9531,0.96827,0.99318,0.86277,0.5009,0.34945,0.91678,0.000581,0.000581,0.000581
45,175.15,0.61968,0.36631,1.02179,1,0.98696,0.995,0.88061,0.48471,0.3568,0.91298,0.000548,0.000548,0.000548
46,179.509,0.69212,0.44135,1.0723,0.99627,1,0.995,0.88441,0.45825,0.30797,0.87905,0.000515,0.000515,0.000515
47,182.775,0.70665,0.42445,1.06899,0.99422,1,0.995,0.90866,0.46717,0.33296,0.88756,0.000482,0.000482,0.000482
48,186.028,0.66654,0.41752,1.07141,0.99744,1,0.995,0.88666,0.50583,0.3012,0.91685,0.000449,0.000449,0.000449
49,189.663,0.57208,0.36201,1.00477,0.99744,1,0.995,0.91483,0.44837,0.29122,0.8848,0.000416,0.000416,0.000416
50,193.631,0.60269,0.40086,1.01679,0.99737,1,0.995,0.92112,0.42709,0.27147,0.86882,0.000383,0.000383,0.000383
51,204.852,0.5129,0.36101,0.96425,0.99665,1,0.995,0.93953,0.39215,0.28268,0.85631,0.00035,0.00035,0.00035
52,209.681,0.47575,0.332,0.93972,0.9958,1,0.995,0.93465,0.38365,0.30826,0.8416,0.000317,0.000317,0.000317
53,216.39,0.47567,0.32886,0.92043,0.9958,1,0.995,0.92593,0.38667,0.29656,0.83906,0.000284,0.000284,0.000284
54,220.411,0.4681,0.30997,0.91842,0.99735,1,0.995,0.92742,0.37462,0.263,0.83354,0.000251,0.000251,0.000251
55,224.039,0.47103,0.30293,0.92334,0.99763,1,0.995,0.9407,0.35172,0.24058,0.82316,0.000218,0.000218,0.000218
56,227.404,0.42901,0.2989,0.91437,0.99757,1,0.995,0.96035,0.34173,0.23029,0.81578,0.000185,0.000185,0.000185
57,231.599,0.41094,0.27608,0.89758,0.99753,1,0.995,0.95442,0.33772,0.2275,0.81309,0.000152,0.000152,0.000152
58,234.824,0.43586,0.27447,0.90437,0.99767,1,0.995,0.94686,0.32929,0.22314,0.81242,0.000119,0.000119,0.000119
59,237.943,0.42346,0.2643,0.88729,0.99767,1,0.995,0.95852,0.33043,0.22421,0.81237,8.6e-05,8.6e-05,8.6e-05
60,241.428,0.43473,0.26877,0.88406,0.99761,1,0.995,0.9447,0.32372,0.22162,0.81009,5.3e-05,5.3e-05,5.3e-05
